236,0,0,0,0,1,0,0,0,0,1,1,1,2,3,44,3,10,7,9,
3,289,6,12,7,22,1,3,2,0,0,17,4,4,7,4,0,0,1,0,
3,33,206,58,12,31,0,2,2,2,1,17,1,4,4,5,0,0,9,1,
0,8,15,305,21,2,4,6,0,0,1,6,23,0,1,0,0,0,0,0,
0,8,10,37,273,2,4,4,1,1,0,6,17,8,2,0,3,0,6,0,
0,42,6,10,2,304,1,0,2,1,0,10,0,0,3,2,1,1,2,0,
0,9,4,49,21,1,226,32,5,0,1,3,11,2,3,3,2,3,6,1,
1,1,0,2,0,1,5,356,4,2,0,1,4,0,2,1,4,2,9,0,
0,1,0,0,0,0,0,26,353,2,0,1,1,1,0,1,4,2,5,0,
4,1,0,1,1,2,3,3,1,345,17,2,2,0,0,3,1,2,9,0,
2,0,0,0,0,0,1,1,0,4,381,1,0,2,1,2,0,1,3,0,
0,4,1,1,2,1,1,0,0,0,0,360,3,2,0,2,8,0,8,1,
2,18,0,27,8,3,1,10,2,0,0,46,259,6,3,6,0,2,0,0,
10,7,1,3,0,0,0,4,0,1,0,0,3,323,3,17,3,6,10,1,
3,7,0,0,0,2,0,0,1,0,1,4,4,4,332,5,1,2,23,1,
7,2,1,0,1,2,0,0,0,0,0,1,0,1,0,376,2,2,1,1,
1,0,0,0,1,0,1,2,1,1,1,3,0,1,2,3,325,2,16,4,
12,1,0,0,0,0,0,2,1,1,1,4,0,0,0,7,3,318,19,0,
6,1,0,0,0,1,0,1,0,0,0,3,0,3,7,3,95,5,180,1,
47,3,0,0,0,0,0,0,1,0,0,1,0,3,4,69,19,5,8,88,
